path,action,moved_to
data\chessred2k_rect_pov\real_ok\g61_m0006_img0006856_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0006_img0006856_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0007_img0006857_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0008_img0006858_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0009_img0006859_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0011_img0006861_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0011_img0006861_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0014_img0006864_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0015_img0006865_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0016_img0006866_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0017_img0006867_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0019_img0006869_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0021_img0006871_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0023_img0006873_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0023_img0006873_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0027_img0006877_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0029_img0006879_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0030_img0006880_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0034_img0006884_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0036_img0006886_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0036_img0006886_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0039_img0006889_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0039_img0006889_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0059_img0006909_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0059_img0006909_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0061_img0006911_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0062_img0006912_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0063_img0006913_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0065_img0006915_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0068_img0006918_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0069_img0006919_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0070_img0006920_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0074_img0006924_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0075_img0006925_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0077_img0006927_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0078_img0006928_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0079_img0006929_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0080_img0006930_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0080_img0006930_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0082_img0006932_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0082_img0006932_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0083_img0006933_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0084_img0006934_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0084_img0006934_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0086_img0006936_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0089_img0006939_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0091_img0006941_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g61_m0091_img0006941_bpov.png
data\chessred2k_rect_pov\real_ok\g61_m0095_img0006945_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0098_img0006948_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0100_img0006950_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g61_m0102_img0006952_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0001_img0007967_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0005_img0007971_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0006_img0007972_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0007_img0007973_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0008_img0007974_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0010_img0007976_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0011_img0007977_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0014_img0007980_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0017_img0007983_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0020_img0007986_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0022_img0007988_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0023_img0007989_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0026_img0007992_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0027_img0007993_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0028_img0007994_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0029_img0007995_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0032_img0007998_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g72_m0032_img0007998_wpov.png
data\chessred2k_rect_pov\real_ok\g72_m0033_img0007999_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g72_m0033_img0007999_wpov.png
data\chessred2k_rect_pov\real_ok\g72_m0034_img0008000_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0035_img0008001_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0036_img0008002_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0039_img0008005_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0040_img0008006_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g72_m0040_img0008006_wpov.png
data\chessred2k_rect_pov\real_ok\g72_m0041_img0008007_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0042_img0008008_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0043_img0008009_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0045_img0008011_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0046_img0008012_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0048_img0008014_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0049_img0008015_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0051_img0008017_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0052_img0008018_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0056_img0008022_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0058_img0008024_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0060_img0008026_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0062_img0008028_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0064_img0008030_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0066_img0008032_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0068_img0008034_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0069_img0008035_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0071_img0008037_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0077_img0008043_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0080_img0008046_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g72_m0087_img0008053_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0002_img0008582_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0002_img0008582_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0004_img0008584_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0007_img0008587_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0008_img0008588_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0008_img0008588_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0009_img0008589_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0010_img0008590_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0011_img0008591_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0011_img0008591_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0014_img0008594_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0016_img0008596_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0018_img0008598_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0020_img0008600_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0022_img0008602_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0023_img0008603_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0023_img0008603_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0026_img0008606_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0028_img0008608_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0030_img0008610_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0030_img0008610_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0031_img0008611_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0033_img0008613_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0034_img0008614_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0035_img0008615_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0036_img0008616_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0044_img0008624_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0046_img0008626_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0047_img0008627_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0047_img0008627_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0049_img0008629_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0049_img0008629_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0050_img0008630_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0051_img0008631_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0052_img0008632_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0053_img0008633_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0054_img0008634_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0058_img0008638_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0059_img0008639_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0060_img0008640_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0061_img0008641_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0061_img0008641_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0067_img0008647_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0069_img0008649_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0073_img0008653_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0074_img0008654_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0074_img0008654_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0075_img0008655_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0076_img0008656_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0080_img0008660_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0082_img0008662_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0083_img0008663_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0086_img0008666_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0087_img0008667_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0088_img0008668_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0088_img0008668_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0089_img0008669_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g78_m0089_img0008669_wpov.png
data\chessred2k_rect_pov\real_ok\g78_m0090_img0008670_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0091_img0008671_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0095_img0008675_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0096_img0008676_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0097_img0008677_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g78_m0101_img0008681_wpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0008_img0009096_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g83_m0008_img0009096_bpov.png
data\chessred2k_rect_pov\real_ok\g83_m0010_img0009098_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0011_img0009099_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g83_m0011_img0009099_bpov.png
data\chessred2k_rect_pov\real_ok\g83_m0013_img0009101_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0014_img0009102_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g83_m0014_img0009102_bpov.png
data\chessred2k_rect_pov\real_ok\g83_m0024_img0009112_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0026_img0009114_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0027_img0009115_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0029_img0009117_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0031_img0009119_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0032_img0009120_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0034_img0009122_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0035_img0009123_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0036_img0009124_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0038_img0009126_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0044_img0009132_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0045_img0009133_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0046_img0009134_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0048_img0009136_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0049_img0009137_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0050_img0009138_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0051_img0009139_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g83_m0051_img0009139_bpov.png
data\chessred2k_rect_pov\real_ok\g83_m0052_img0009140_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g83_m0052_img0009140_bpov.png
data\chessred2k_rect_pov\real_ok\g83_m0055_img0009143_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0056_img0009144_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0059_img0009147_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0060_img0009148_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0064_img0009152_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0066_img0009154_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0067_img0009155_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0068_img0009156_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0069_img0009157_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0070_img0009158_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0073_img0009161_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0075_img0009163_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0078_img0009166_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0079_img0009167_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0080_img0009168_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0081_img0009169_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0083_img0009171_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0084_img0009172_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0095_img0009183_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g83_m0098_img0009186_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0000_img0009479_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0000_img0009479_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0001_img0009480_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0001_img0009480_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0003_img0009482_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0004_img0009483_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0004_img0009483_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0005_img0009484_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0006_img0009485_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0007_img0009486_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0009_img0009488_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0010_img0009489_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0011_img0009490_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0011_img0009490_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0015_img0009494_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0018_img0009497_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0019_img0009498_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0020_img0009499_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0021_img0009500_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0023_img0009502_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0023_img0009502_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0024_img0009503_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0025_img0009504_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0026_img0009505_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0026_img0009505_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0027_img0009506_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0028_img0009507_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0029_img0009508_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0031_img0009510_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0032_img0009511_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0033_img0009512_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0034_img0009513_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0035_img0009514_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0037_img0009516_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0038_img0009517_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0038_img0009517_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0040_img0009519_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0040_img0009519_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0041_img0009520_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0042_img0009521_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0043_img0009522_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0047_img0009526_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0049_img0009528_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0050_img0009529_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0052_img0009531_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0053_img0009532_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0057_img0009536_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0058_img0009537_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0059_img0009538_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0061_img0009540_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0061_img0009540_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0066_img0009545_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0066_img0009545_bpov.png
data\chessred2k_rect_pov\real_ok\g87_m0067_img0009546_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0068_img0009547_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0070_img0009549_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0071_img0009550_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0072_img0009551_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0074_img0009553_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0075_img0009554_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0076_img0009555_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0077_img0009556_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0078_img0009557_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0080_img0009559_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0081_img0009560_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0083_img0009562_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0084_img0009563_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0085_img0009564_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0086_img0009565_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0087_img0009566_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0088_img0009567_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0090_img0009569_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0092_img0009571_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0096_img0009575_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0097_img0009576_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0098_img0009577_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g87_m0100_img0009579_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g87_m0100_img0009579_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0000_img0009887_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0000_img0009887_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0001_img0009888_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0002_img0009889_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0003_img0009890_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0004_img0009891_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0005_img0009892_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0006_img0009893_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0007_img0009894_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0007_img0009894_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0008_img0009895_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0009_img0009896_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0011_img0009898_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0012_img0009899_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0013_img0009900_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0014_img0009901_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0014_img0009901_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0016_img0009903_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0018_img0009905_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0021_img0009908_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0021_img0009908_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0022_img0009909_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0025_img0009912_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0026_img0009913_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0028_img0009915_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0030_img0009917_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0031_img0009918_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0032_img0009919_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0033_img0009920_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0033_img0009920_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0035_img0009922_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0037_img0009924_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0038_img0009925_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0040_img0009927_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0041_img0009928_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0042_img0009929_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0043_img0009930_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0044_img0009931_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0046_img0009933_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0047_img0009934_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0049_img0009936_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0050_img0009937_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0051_img0009938_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g91_m0051_img0009938_bpov.png
data\chessred2k_rect_pov\real_ok\g91_m0053_img0009940_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0054_img0009941_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0056_img0009943_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0058_img0009945_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0059_img0009946_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0060_img0009947_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0061_img0009948_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0062_img0009949_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0064_img0009951_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g91_m0065_img0009952_bpov.png,keep,
